mode: set
backend/internal/errors/errors.go:89.38,90.20 1 1
backend/internal/errors/errors.go:90.20,92.3 1 1
backend/internal/errors/errors.go:93.2,93.50 1 1
backend/internal/errors/errors.go:97.38,99.2 1 1
backend/internal/errors/errors.go:102.45,104.27 2 1
backend/internal/errors/errors.go:104.27,106.3 1 1
backend/internal/errors/errors.go:107.2,107.14 1 1
backend/internal/errors/errors.go:111.79,113.27 2 1
backend/internal/errors/errors.go:113.27,115.3 1 0
backend/internal/errors/errors.go:115.8,118.31 2 1
backend/internal/errors/errors.go:118.31,120.4 1 1
backend/internal/errors/errors.go:121.3,121.26 1 1
backend/internal/errors/errors.go:123.2,124.16 2 1
backend/internal/errors/errors.go:128.59,132.2 3 1
backend/internal/errors/errors.go:135.87,143.2 1 1
backend/internal/errors/errors.go:154.84,165.2 1 1
backend/internal/errors/errors.go:168.68,173.2 4 1
backend/internal/errors/errors.go:185.84,196.2 1 1
backend/internal/errors/errors.go:199.74,206.2 6 1
backend/internal/errors/errors.go:209.72,214.2 4 1
backend/internal/errors/errors.go:225.94,242.2 1 1
backend/internal/errors/errors.go:245.66,249.2 3 1
backend/internal/errors/errors.go:260.59,270.2 1 1
backend/internal/errors/errors.go:273.74,280.2 6 1
backend/internal/errors/errors.go:283.58,288.2 4 1
backend/internal/errors/errors.go:299.78,312.2 1 1
backend/internal/errors/errors.go:315.57,320.2 4 1
backend/internal/errors/errors.go:323.65,328.2 4 1
backend/internal/errors/errors.go:339.100,354.2 1 1
backend/internal/errors/errors.go:357.64,362.2 4 1
backend/internal/errors/errors.go:373.67,384.2 1 1
backend/internal/errors/errors.go:387.72,392.2 4 1
backend/internal/errors/errors.go:397.36,400.2 2 1
backend/internal/errors/errors.go:403.45,405.32 2 1
backend/internal/errors/errors.go:405.32,407.3 1 1
backend/internal/errors/errors.go:408.2,408.12 1 1
backend/internal/errors/errors.go:412.57,414.22 2 1
backend/internal/errors/errors.go:414.22,416.3 1 1
backend/internal/errors/errors.go:417.2,417.14 1 0
backend/internal/errors/errors.go:421.36,423.22 2 1
backend/internal/errors/errors.go:423.22,425.3 1 1
backend/internal/errors/errors.go:426.2,426.14 1 0
backend/internal/errors/errors.go:430.88,439.2 1 1
backend/internal/errors/logging.go:15.53,16.18 1 1
backend/internal/errors/logging.go:17.20,19.27 1 1
backend/internal/errors/logging.go:20.26,22.27 1 1
backend/internal/errors/logging.go:23.24,25.28 1 1
backend/internal/errors/logging.go:26.41,28.27 1 1
backend/internal/errors/logging.go:29.42,31.27 1 1
backend/internal/errors/logging.go:32.10,33.28 1 0
backend/internal/errors/logging.go:39.41,41.22 2 1
backend/internal/errors/logging.go:41.22,46.3 1 1
backend/internal/errors/logging.go:48.2,56.32 2 1
backend/internal/errors/logging.go:56.32,59.3 2 1
backend/internal/errors/logging.go:62.2,62.28 1 1
backend/internal/errors/logging.go:62.28,65.3 1 1
backend/internal/errors/logging.go:67.2,67.15 1 1
backend/internal/errors/logging.go:72.46,78.22 4 1
backend/internal/errors/logging.go:78.22,81.3 2 1
backend/internal/errors/logging.go:81.8,84.3 2 1
backend/internal/errors/logging.go:86.2,88.15 2 1
backend/internal/errors/logging.go:89.26,90.31 1 0
backend/internal/errors/logging.go:91.25,92.30 1 1
backend/internal/errors/logging.go:93.25,94.30 1 1
backend/internal/errors/logging.go:95.26,96.31 1 1
backend/internal/errors/logging.go:97.10,98.31 1 0
backend/internal/errors/logging.go:103.70,107.21 2 1
backend/internal/errors/logging.go:107.21,109.3 1 1
backend/internal/errors/logging.go:111.2,111.23 1 1
backend/internal/errors/logging.go:116.82,122.22 4 1
backend/internal/errors/logging.go:122.22,125.3 2 1
backend/internal/errors/logging.go:125.8,128.3 2 0
backend/internal/errors/logging.go:130.2,133.15 3 1
backend/internal/errors/logging.go:134.26,135.31 1 0
backend/internal/errors/logging.go:136.25,137.30 1 0
backend/internal/errors/logging.go:138.25,139.30 1 1
backend/internal/errors/logging.go:140.26,141.31 1 0
backend/internal/errors/logging.go:142.10,143.31 1 0
backend/internal/errors/logging.go:148.106,151.21 2 1
backend/internal/errors/logging.go:151.21,153.3 1 1
backend/internal/errors/logging.go:155.2,155.45 1 1
backend/internal/errors/logging.go:164.54,166.2 1 1
backend/internal/errors/logging.go:169.39,171.2 1 1
backend/internal/errors/logging.go:174.63,176.2 1 1
backend/internal/errors/logging.go:179.75,181.2 1 1
backend/internal/errors/logging.go:184.99,186.2 1 0
backend/internal/errors/logging.go:189.63,191.2 1 1
backend/internal/errors/logging.go:194.72,196.21 2 1
backend/internal/errors/logging.go:196.21,198.3 1 1
backend/internal/errors/logging.go:199.2,199.53 1 1
backend/internal/errors/presenter.go:22.47,23.52 1 1
backend/internal/errors/presenter.go:23.52,25.3 1 1
backend/internal/errors/presenter.go:26.2,26.11 1 1
backend/internal/errors/presenter.go:30.49,31.57 1 1
backend/internal/errors/presenter.go:31.57,33.3 1 1
backend/internal/errors/presenter.go:34.2,34.14 1 1
backend/internal/errors/presenter.go:38.75,40.2 1 1
backend/internal/errors/presenter.go:43.79,45.2 1 1
backend/internal/errors/presenter.go:49.69,55.32 4 1
backend/internal/errors/presenter.go:55.32,57.3 1 1
backend/internal/errors/presenter.go:60.2,61.29 2 1
backend/internal/errors/presenter.go:61.29,62.31 1 0
backend/internal/errors/presenter.go:62.31,64.4 1 0
backend/internal/errors/presenter.go:65.3,66.16 2 0
backend/internal/errors/presenter.go:70.2,70.63 1 1
backend/internal/errors/presenter.go:74.117,76.18 1 1
backend/internal/errors/presenter.go:76.18,78.3 1 0
backend/internal/errors/presenter.go:80.2,87.59 4 1
backend/internal/errors/presenter.go:87.59,90.3 2 0
backend/internal/errors/presenter.go:90.8,90.50 1 1
backend/internal/errors/presenter.go:90.50,92.3 1 1
backend/internal/errors/presenter.go:95.2,95.73 1 1
backend/internal/errors/presenter.go:95.73,97.3 1 1
backend/internal/errors/presenter.go:99.2,105.47 2 1
backend/internal/errors/presenter.go:105.47,107.3 1 0
backend/internal/errors/presenter.go:109.2,109.15 1 1
backend/internal/errors/presenter.go:113.81,122.38 2 1
backend/internal/errors/presenter.go:122.38,123.27 1 1
backend/internal/errors/presenter.go:123.27,125.4 1 1
